Specimen,Specimen_name,Jugal,Ventral_premax,Interparietal,Paraoccipital,Premaxilla,Basisphenoid
102,Phacochoerus_aethiopicus_NHMUK_71.2124,,,38,,,
103,Phacochoerus_aethiopicus_NHMUK_71.2125,,,38,,,
104,Phacochoerus_aethiopicus_NHMUK_71.7.3.4,,,38,,,
105,Phascolarctos_cincereus_KoalasBottomMiddle_spec2,,,,,,
106,Phascolarctos_cincereus_Pcin3-1_57days,,,,,,
107,Phascolarctos_cincereus_Pcin3-13_51days,,,,,,
108,Phascolarctos_cincereus_Pcin3-5_46days,,,,,,
109,Phascolarctos_cincereus_Pcin3-6_25days,,,,,,
110,Phascolarctos_cincereus_Pcin3-7_21days,,,38,,,
111,Phascolarctos_cincereus_Pcin3-8_30days,,,,,,
112,Phascolarctos_cincereus_Pcin3-9_15days,,,38,,,54
113,Phascolarctos_cincereus_PcinLge02_100+days,,,,,,
114,Phascolarctos_cincereus_PcinLge03_100+days,,,,,,
115,Phascolarctos_cincereus_PcinLge05_60+days,,,,,,
116,Rattus_rattus_NHMUK_1997.69,,,,,,
117,Rattus_rattus_NHMUK_1999.14,,,,,,
118,Rattus_rattus_NHMUK_52.1111,,,,,,
119,Rattus_rattus_NHMUK_70.103,,,,,,
120,Rattus_rattus_NHMUK_79.1343,,,,,,
121,Setifer_setosus_NHMUK_1974.484,16,,38,,,
122,Setifer_setosus_NHMUK_55.12.26.304,16,,38,,,
123,Setifer_setosus_NHMUK_70.360,16,,38,,,
124,Setifer_setosus_NHMUK_74.545,16,,38,,,
125,Setifer_setosus_NHMUK_74.554,16,,38,,,
126,Setifer_setosus_NHMUK_76.273,16,,38,,,
127,Setifer_setosus_NHMUK_76.274,16,,38,,,
128,Setifer_setosus_NHMUK_79.545,16,,38,,,
129,Setonix_brachyurus_NHMUK_1989.580,,,,,,
130,Setonix_brachyurus_NHMUK_1989.581,,,,,,
131,Setonix_brachyurus_NHMUK_1989.582,,,,,,
132,Setonix_brachyurus_NHMUK_1989.583,,,,,,
133,Setonix_brachyurus_NHMUK_1989.584,,,,,,
134,Setonix_brachyurus_NHMUK_1989.585,,,,,,
135,Setonix_brachyurus_NHMUK_1989.586,,,,,,
136,Setonix_brachyurus_NHMUK_1989.587,,,,,,
137,Setonix_brachyurus_NHMUK_1989.588,,,,,,
138,Setonix_brachyurus_NHMUK_1989.589,,,,,,
139,Setonix_brachyurus_NHMUK_1989.590,,,,,,
140,Setonix_brachyurus_NHMUK_1989.591,,,,,,
141,Setonix_brachyurus_NHMUK_6.8.1.245,,,,,,
142,Sminthopsis_macroura_Smac54dPYA_No44_08_54days,,,38,,,
143,Sminthopsis_macroura_Smac64_9_09_64days,,,38,,,
144,Sminthopsis_macroura_SmacAdult33_08_adult,,,38,,,
145,Sminthopsis_macroura_Smacd19_19days,,,38,,,
146,Sminthopsis_macroura_Smacd22_22days,,,38,,,
147,Sminthopsis_macroura_Smacd31_31days,,,38,,,
148,Sminthopsis_macroura_SmacPYE74d_No14_08_74days,,,38,,,
149,Talpa_europaea_NHMUK_19.4.57,,,38,,,
150,Talpa_europaea_NHMUK_1989.565,,,38,,,
151,Talpa_europaea_NHMUK_57.366,,,38,,,
152,Talpa_europaea_NHMUK_57.367,,,38,,,
153,Talpa_europaea_NHMUK_57.368,,,38,,,
154,Talpa_europaea_NHMUK_57.370,,,38,,,
155,Talpa_europaea_NHMUK_57.371,,,38,,,
156,Talpa_europaea_NHMUK_57.374,,,38,,,
157,Trichosaurus_vulpecula_TV1_adult,,,,,,
158,Trichosaurus_vulpecula_TV2_100days,,,,,,
159,Trichosaurus_vulpecula_TV3_85days,,,,,,
160,Trichosaurus_vulpecula_TV6_35-42days,,,,,,
161,Trichosaurus_vulpecula_TV7_35days,,,,,,
162,Trichosaurus_vulpecula_TV8_68days,,,,,,
163,Trichosaurus_vulpecula_TVAC_14days,,,,,,
164,Trichosaurus_vulpecula_TVPYE_15days,,,,,,
165,Trichosaurus_vulpecula_TVPYK_21days,,,,,,
