"","x"
"Phacochoerus_aethiopicus_NHMUK_66.523.pts",944.017492346688
"Phacochoerus_aethiopicus_NHMUK_66.807_01AUG1962_spec2.pts",337.377919214523
"Phacochoerus_aethiopicus_NHMUK_66.807_28AUG1962.pts",359.336157411653
"Phacochoerus_aethiopicus_NHMUK_66.808_A.pts",353.443006298636
"Phacochoerus_aethiopicus_NHMUK_66.811.pts",411.841160791981
"Phacochoerus_aethiopicus_NHMUK_71.2124.pts",1090.91816065628
"Phacochoerus_aethiopicus_NHMUK_71.2125.pts",1149.77732961496
"Phacochoerus_aethiopicus_NHMUK_71.7.3.4.pts",593.917684774158
"Phascolarctos_cincereus_KoalasBottomMiddle_spec2.pts",260.583205907971
"Phascolarctos_cincereus_Pcin3-1_57days.pts",90.3799613738171
"Phascolarctos_cincereus_Pcin3-13_51days.pts",74.6856259655955
"Phascolarctos_cincereus_Pcin3-5_46days.pts",73.1872714883494
"Phascolarctos_cincereus_Pcin3-6_25days.pts",49.3069180498294
"Phascolarctos_cincereus_Pcin3-7_21days.pts",43.4789087787244
"Phascolarctos_cincereus_Pcin3-8_30days.pts",60.8862464818228
"Phascolarctos_cincereus_Pcin3-9_15days.pts",36.9838493647073
"Phascolarctos_cincereus_PcinLge02_100+days.pts",495.916986993018
"Phascolarctos_cincereus_PcinLge03_100+days.pts",468.525416296769
"Phascolarctos_cincereus_PcinLge05_60+days.pts",428.754620391588
"Rattus_rattus_NHMUK_1997.69.pts",107.791076659364
"Rattus_rattus_NHMUK_1999.14.pts",135.055561058574
"Rattus_rattus_NHMUK_52.1111.pts",109.599310460557
"Rattus_rattus_NHMUK_70.103.pts",92.8149304363477
"Rattus_rattus_NHMUK_79.1343.pts",89.8470578926732
"Setifer_setosus_NHMUK_1974.484.pts",171.619095282335
"Setifer_setosus_NHMUK_55.12.26.304.pts",104.531717045195
"Setifer_setosus_NHMUK_70.360.pts",105.093194094803
"Setifer_setosus_NHMUK_74.545.pts",101.138144397559
"Setifer_setosus_NHMUK_74.554.pts",87.6427854252645
"Setifer_setosus_NHMUK_76.273.pts",155.101666852473
"Setifer_setosus_NHMUK_76.274.pts",161.09776502145
"Setifer_setosus_NHMUK_79.545.pts",155.835286894997
"Setonix_brachyurus_NHMUK_1989.580.pts",88.7768343688745
"Setonix_brachyurus_NHMUK_1989.581.pts",95.385184403718
"Setonix_brachyurus_NHMUK_1989.582.pts",119.127532732634
"Setonix_brachyurus_NHMUK_1989.583.pts",127.27816349998
"Setonix_brachyurus_NHMUK_1989.584.pts",137.766959604649
"Setonix_brachyurus_NHMUK_1989.585.pts",158.11201835394
"Setonix_brachyurus_NHMUK_1989.586.pts",164.749357994615
"Setonix_brachyurus_NHMUK_1989.587.pts",174.034913297931
"Setonix_brachyurus_NHMUK_1989.588.pts",185.951163939856
"Setonix_brachyurus_NHMUK_1989.589.pts",176.575217937809
"Setonix_brachyurus_NHMUK_1989.590.pts",194.684519959497
"Setonix_brachyurus_NHMUK_1989.591.pts",189.83501857361
"Setonix_brachyurus_NHMUK_6.8.1.245.pts",325.415085828917
"Sminthopsis_macroura_Smac54dPYA_No44_08_54days.pts",75.4288354391926
"Sminthopsis_macroura_Smac64_9_09_64days.pts",79.7122051754685
"Sminthopsis_macroura_SmacAdult33_08_adult.pts",98.8867957172371
"Sminthopsis_macroura_Smacd19_19days.pts",25.6314963088586
"Sminthopsis_macroura_Smacd22_22days.pts",28.7439865249334
"Sminthopsis_macroura_Smacd31_31days.pts",40.3730168548252
"Sminthopsis_macroura_SmacPYE74d_No14_08_74days.pts",84.0590512367636
"Talpa_europaea_NHMUK_19.4.57.pts",121.16656144742
"Talpa_europaea_NHMUK_1989.565.pts",128.553881133498
"Talpa_europaea_NHMUK_57.366.pts",102.275169020248
"Talpa_europaea_NHMUK_57.367.pts",117.233906442922
"Talpa_europaea_NHMUK_57.368.pts",82.4186096444865
"Talpa_europaea_NHMUK_57.370.pts",104.636343862091
"Talpa_europaea_NHMUK_57.371.pts",82.5009397601409
"Talpa_europaea_NHMUK_57.374.pts",91.9553070183453
"Trichosaurus_vulpecula_TV1_adult.pts",165.585701812156
"Trichosaurus_vulpecula_TV2_100days.pts",181.026766505377
"Trichosaurus_vulpecula_TV3_85days.pts",146.479060714887
"Trichosaurus_vulpecula_TV6_35-42days.pts",77.0237080780325
"Trichosaurus_vulpecula_TV7_35days.pts",65.9670791778312
"Trichosaurus_vulpecula_TV8_68days.pts",124.116348921066
"Trichosaurus_vulpecula_TVAC_14days.pts",37.8572562457368
"Trichosaurus_vulpecula_TVPYE_15days.pts",50.4625957417415
"Trichosaurus_vulpecula_TVPYK_21days.pts",57.3112569797381
